URL,Content
https://www.facebook.com/share/p/14DqtuJaps/,"Mọi người ơiii, hãy vào link này để sở hữu bộ thẻ BE THE SKY trọn bộ nhéeee: https://bit.ly/mb_km2 "
https://www.facebook.com/share/p/14DqtuJaps/,Nhạc vẫn đỉnh như ngày nào
https://www.facebook.com/share/p/14DqtuJaps/,Chúc mừng Sơn Tùng M-TP và MB Bank 
https://www.facebook.com/share/p/14DqtuJaps/,Ok zai iu của mẹ 
https://www.facebook.com/share/p/14DqtuJaps/,mê nhạc mê anhhhh
https://www.facebook.com/share/p/14DqtuJaps/,Xịn quáaaa
https://www.facebook.com/share/p/14DqtuJaps/,Tuyệt vời a iu
https://www.facebook.com/share/p/14DqtuJaps/,Mê a quá phải ls ạ 
https://www.facebook.com/share/p/14DqtuJaps/,Ước gì anh tùng được làm chủ tịch nước
https://www.facebook.com/share/p/14DqtuJaps/,Bài hát hay tràn đầy năng lượng nha!!! 
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Oki anh iu 
https://www.facebook.com/share/p/14DqtuJaps/,Cảm ơn bb 
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Mãi là skyy sếp ơi 
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Nhìn thích quá 
https://www.facebook.com/share/p/14DqtuJaps/,Hay quá anh ơi
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Vâng 
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,đẹp xỉu 
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Oki anhh
https://www.facebook.com/share/p/14DqtuJaps/,Cũng dịu 
https://www.facebook.com/share/p/14DqtuJaps/,Đẹp quá sếp ơi 
https://www.facebook.com/share/p/14DqtuJaps/,Iu anh 
https://www.facebook.com/share/p/14DqtuJaps/,Ủng hộ idol hết mình 
https://www.facebook.com/share/p/14DqtuJaps/,"Cảm ơn sếp,  luôn luôn tin vào Tùng và ủng hộ mọi việc Tùng làm,  Tùng là vậy luôn làm việc âm thầm và hoàn hảo nhất để gửi đến những điều tuyệt vời nhất cho chúng ta.  Món quà nho nhỏ thôi mà có điệu nhạc mới,  nghe ca từ và Tùng hát là tự nhiên thấy … Xem thêm"
https://www.facebook.com/share/p/14DqtuJaps/,Tuôi sẽ làm thẻ MB bank ngay và luônn  yêu sếpppp
https://www.facebook.com/share/p/14DqtuJaps/,Nhạc a xưa nay vẫn hay
https://www.facebook.com/share/p/14DqtuJaps/,Ra mv mới mà không báo cho bon toyy
https://www.facebook.com/share/p/14DqtuJaps/,Lữ Qanh nà
https://www.facebook.com/share/p/14DqtuJaps/,"Anh ta đẹp điên, tôi phải chốt đơn thôi "
https://www.facebook.com/share/p/14DqtuJaps/,"Hóng xem bạn láng giềng có trương trình mới dành cho những người tuyệt vời nhất của năm  2024 “ đặc biệt hấp dẫn cỡ nào nha  nè bạn ơi , vậy người tuyệt vời nhất là ai đó  2024  Chúc bạn láng giềng luôn luôn vui vẻ  Hạnh phúc & Mạnh khỏe  Thàn… Xem thêm"
https://www.facebook.com/share/p/14DqtuJaps/,Em tặng Sếp ạ https://www.youtube.com/watch?v=umd4DSXeQsg
https://www.facebook.com/share/p/14DqtuJaps/,Rồi sky ko ở Vn làm sao ạ 
https://www.facebook.com/share/p/14DqtuJaps/,Chắc chắn có Skytour rồi
https://www.facebook.com/share/p/14DqtuJaps/,Em mãi đỉnh Tùng ạ M-TP
https://www.facebook.com/share/p/14DqtuJaps/,Gầy quá 
https://www.facebook.com/share/p/14DqtuJaps/,Được đấy chứ 
https://www.facebook.com/share/p/14DqtuJaps/,Nguyên Nguyễn làm chưa :)))0000
https://www.facebook.com/share/p/14DqtuJaps/,Làm thêm cái thẻ Thu Quynh ơi
https://www.facebook.com/share/p/14DqtuJaps/,Nguyễn Tiên tặng này nhe
https://www.facebook.com/share/p/14DqtuJaps/,anhyeuchotienememdimuadocuaanhyeu
https://www.facebook.com/share/p/14DqtuJaps/,Vâng
https://www.facebook.com/share/p/14DqtuJaps/,Mê nhạc mê cả anh 
https://www.facebook.com/share/p/14DqtuJaps/,Xịn xò í 
https://www.facebook.com/share/p/14DqtuJaps/,Cháu chào chú 10 nha 
